serial_number,block_number,trial_number,trial_id,trial_category,trial_gets_repeated,click_category,trial_repetitions,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_px,click_distance_to_start_center_touchup_px,click_distance_to_target_center_touchdown_px,click_distance_to_target_center_touchup_px,total_clicks_amount,clicks_amount_after_start_click,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
1,1,1,1,C1,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,5,187.66253410006826,8,49.011023622047254,left,360,253.4612231168241,295.9672546734476,130.93366406170597,295.96725467344766,240.0669708251953,293.86236572265625,241.77455139160156,293.2261962890625,131.18304443359375,306.3735046386719,128.9732208251953,303.4047546386719,3.700918391796162,13.55863385252978,12.00382010360551,10.409237671828421,7.691537129617892,2,1,294.5,57.099999994039536,65.60000002384186
2,1,2,2,C2,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,10,375.3250682001365,6,36.758267716535435,left,360,265.0468876160245,592.5400222602844,142.5193285609064,592.5400222602844,260.45758056640625,573.7730712890625,261.3616027832031,574.1972045898438,139.31919860839844,603.24853515625,136.50669860839844,600.27978515625,4.089453852594501,19.319942752294168,18.70936354850305,11.176452037923266,9.800798367049538,2,1,268.30000001192093,43.099999994039536,55.5
3,1,3,3,C3,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,4,150.1300272800546,8,49.011023622047254,left,360,214.81910433420327,214.4171392071738,92.29154527908514,214.41713920717382,210.9375,223.67262268066406,210.9375,223.88467407226562,92.109375,225.36904907226562,90.703125,223.03646850585938,2.723687052742312,10.036474806193517,10.232354012104699,10.953424839002512,8.764468982327918,2,1,275.30000001192093,43.30000001192093,56.39999997615814
4,1,4,4,C4,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,9,337.7925613801229,10,61.263779527559066,left,360,333.6770551475582,614.0124301391352,211.14949609244005,614.0124301391352,328.96209716796875,606.21728515625,326.65179443359375,606.21728515625,211.640625,604.73291015625,208.32589721679688,602.4003295898438,4.053190394678593,9.110165424046588,10.493739724396251,9.292507665673801,11.950463998413937,2,1,208.40000000596046,41.19999998807907,46.900000005960464
5,1,5,5,C5,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,10,375.3250682001365,5,30.631889763779533,left,360,331.94473547104724,517.5562517884064,209.41717641592913,517.5562517884064,332.87945556640625,503.79541015625,333.68304443359375,504.2195129394531,209.43080139160156,521.1837768554688,207.421875,518.2150268554688,3.584586699938122,13.792551036046811,13.44954724793546,3.6275506546605234,2.1012406643199752,2,1,227,38.80000001192093,46.599999994039536
6,1,6,6,C6,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,8,300.2600545601092,16,98.02204724409451,left,360,335.1655826856846,204.27052399623045,212.63802363056652,204.27052399623048,331.3727722167969,217.31101989746094,330.5692138671875,216.0386962890625,212.24330139160156,216.46279907226562,209.8325958251953,213.91815185546875,3.5052433276242265,13.580866857565228,12.633941800935787,12.19866292573253,10.047245815719863,2,1,250.80000001192093,39.60000002384186,46.20000001788139
7,1,7,7,C7,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,12,450.3900818401638,4,24.505511811023627,left,360,261.700126184147,184.35148194550075,139.17256712902886,184.35148194550078,273.91741943359375,198.8623504638672,273.3147277832031,198.8623504638672,138.515625,187.62351989746094,138.21429443359375,184.65476989746094,2.9840034639307493,18.96912121054361,18.586669294473264,3.337335062585206,1.0051219531085092,2,1,251.19999998807907,29.19999998807907,54.80000001192093
8,1,8,8,C8,false,C5 - Down Inside Tolerance | Up Inside Tolerance,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,5,187.66253410006826,3,18.379133858267718,left,360,216.06169433713399,508.14092884659533,93.53413528201587,508.1409288465954,215.35714721679688,499.7663879394531,215.05580139160156,499.9784240722656,100.94866180419922,522.8801879882812,97.93527221679688,521.1837768554688,3.4580814821219956,8.40412529952841,8.22425101810658,16.49912008544488,13.765387408324745,2,1,233.30000001192093,48.20000001788139,55.79999998211861
9,1,9,9,C9,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,10,375.3250682001365,3,18.379133858267718,left,360,327.50000361208095,737.6265411375165,113.07677526562426,737.6265411375165,331.171875,722.2105712890625,331.07147216796875,722.2105712890625,110.69196319580078,743.6279907226562,110.89286041259766,743.203857421875,0.4693066679137735,15.847232119769714,15.824269778227924,6.457919613261692,5.989652829759077,2,1,333.59999999403954,39.20000001788139,47
10,1,10,10,C10,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,3,112.59752046004095,11,67.39015748031497,left,360,245.67738868240139,531.1071070234738,31.25416033594466,531.1071070234738,245.49107360839844,536.6636962890625,246.5959930419922,536.45166015625,36.26116180419922,531.99853515625,36.06026840209961,531.99853515625,0.20089340209960938,5.559712004524762,5.422921920747851,5.085735720523456,4.888079260759239,2,1,528,46.19999998807907,57.30000001192093
